social_trust,religion,age,gender,race,children,education,employment,income,rural,extreme_weather,pro_envrnmt,human_nature,cultur3,party,ideol,cncrn_natres,climate_cause,climate_risk,policy4
4.166666667,8,26,1,1,0,5,1,63000,0,2,0.125,3,2,2,6,9,1,7,2
5.166666667,9,35,0,1,2,4,1,75000,0,3,0.5,1.5,4,1,2,10,1,9,2
2.166666667,7,43,0,1,3,7,1,50000,1,2,0.375,1.5,1,1,1,10,1,7,2
5.166666667,0,31,0,1,0,6,1,110000,0,1,0,3,2,1,2,10,1,10,4
2.5,4,29,0,0,4,4,1,1200,1,2,0.5,2,3,3,6,9,1,3,4
4.833333333,7,34,0,1,3,5,1,45000,1,2,0.25,3,1,1,4,6,1,9,2
3.166666667,0,49,0,0,2,6,1,24000,0,2,0.375,2.5,3,3,2,9,1,9,3
6.166666667,5,41,1,1,2,7,1,1500,0,2,0.25,4.5,4,2,4,9,0,6,2
4.666666667,0,35,0,1,2,5,0,31000,1,3,0.625,3,1,2,4,10,1,10,1
3,10,41,1,1,2,1,0,15000,0,3,0.375,2.5,4,3,4,8,1,7,1
6,5,43,1,1,2,6,1,40000,0,3,0.125,4,3,2,2,10,1,5,1
3,0,23,0,1,0,2,1,50000,1,3,0.75,1.5,4,3,6,10,1,10,1
5.333333333,10,24,1,1,1,2,1,24000,1,2,0.25,4,4,2,7,8,0,5,2
5,5,58,0,1,0,3,1,32000,0,2,0.375,3,2,1,4,7,1,7,1
3.333333333,0,59,1,1,0,7,0,130000,0,2,0.125,2.5,3,1,1,8,0,9,1
4.166666667,8,24,0,1,0,4,1,24000,0,2,0.25,3,1,1,2,7,1,10,1
4.5,7,57,0,1,0,2,0,14000,0,3,0.375,2,4,1,4,10,1,10,1
1.666666667,10,23,0,0,2,2,0,0,0,2,0.125,1,2,3,6,5,0,6,2
4.666666667,5,51,1,0,0,4,0,49999,0,2,0.375,4,3,2,4,7,1,7,1
3.666666667,2,47,1,1,0,6,0,25000,0,3,0.25,1.5,2,1,4,8,1,8,1
2.5,8,28,0,0,0,4,1,1500,0,3,0.25,3,4,3,4,10,1,10,1
1.333333333,0,49,0,0,0,4,1,12000,0,3,0.375,1,2,4,7,10,0,10,2
4.333333333,4,19,1,0,0,2,1,10000,0,2,0.125,4.5,2,2,5,6,0,3,3
3.833333333,6,28,0,1,0,5,1,2000,0,3,0.125,2,1,2,7,4,1,5,2
2,4,27,0,0,2,4,1,35000,0,3,0.25,3,1,1,4,6,1,7,3
5,5,23,0,0,0,4,1,25000,0,3,0.375,3,1,1,1,5,1,7,2
3.5,10,18,0,1,4,2,1,2.00E+05,0,2,0.125,3,3,3,3,9,1,7,2
7,10,41,1,1,2,7,1,1.00E+05,0,3,0.5,4.5,3,2,5,10,1,10,1
3.166666667,10,42,1,0,1,1,0,40000,1,2,0.5,3,2,3,4,10,0,7,2
4.666666667,8,39,1,1,1,2,0,65000,0,2,0.375,4,4,3,4,7,1,4,2
4,5,33,0,0,2,5,0,10000,0,3,0.5,3,1,1,4,5,0,5,2
7,10,40,1,1,2,4,1,150000,0,3,0.5,5,2,2,2,9,1,10,0
3.333333333,0,66,1,0,0,6,0,17243,1,3,0.125,1,2,1,1,10,1,10,1
4,9,64,1,0,1,6,1,125000,1,3,0.25,2,4,1,3,8,1,7,1
6.666666667,7,21,0,0,0,4,1,490000,0,2,0.625,5,4,3,3,8,1,5,1
5,6,53,1,0,0,6,1,124500,0,3,0.125,2,3,1,1,7,1,10,1
6.5,10,44,0,0,1,5,1,65000,0,3,0.375,3,4,1,1,7,1,10,1
4,10,23,0,1,1,0,0,30000,0,3,0.375,1.5,2,3,4,4,1,9,4
4,5,26,0,0,0,4,0,12000,0,2,0.125,2,3,1,2,5,1,5,2
4.166666667,10,21,0,1,1,4,1,20000,0,2,0.375,3,1,1,4,7,1,9,1
3.5,10,39,0,0,2,4,1,50000,0,2,0.25,3.5,2,3,5,8,0,0,1
1.833333333,7,56,0,0,1,5,0,0,0,3,0.125,2.5,4,1,4,7,1,10,1
4.5,7,73,1,1,0,2,0,15972,0,3,0.25,3,2,1,2,8,1,9,1
5,7,31,1,1,0,7,1,65000,0,3,0,2,2,1,2,7,1,5,2
7,10,35,0,1,2,5,1,2.00E+05,0,3,0,5,1,2,4,10,0,10,1
5,10,67,0,0,0,2,0,39000,0,3,0.375,4,1,1,4,8,1,8,1
3.666666667,7,24,0,1,1,2,1,27600,0,3,0.375,2.5,1,1,4,6,0,7,2
3.833333333,10,50,0,0,1,5,1,25,0,2,0.875,5,3,1,6,10,0,6,1
4,4,40,0,1,3,6,1,75000,0,2,0.25,3,2,1,3,4,0,4,2
4.333333333,8,47,0,0,2,5,1,25000,0,2,0.5,3,2,3,1,10,1,10,1
7,10,64,1,0,0,4,0,22500,0,2,0.25,5,3,2,7,10,0,0,1
3.833333333,7,38,1,0,0,4,1,155,0,3,0.125,2.5,4,2,6,10,0,5,1
4,7,51,0,0,0,2,0,0,0,2,0.125,2.5,1,1,4,9,0,6,2
3.333333333,10,52,0,0,1,4,0,3200,0,3,0,4,2,1,3,5,1,9,2
7,10,27,1,1,2,7,1,1.00E+05,0,3,0.125,5,4,1,1,10,1,10,1
3.666666667,10,22,0,0,1,4,1,20000,0,2,0.25,4,3,1,4,6,0,10,1
2.166666667,10,61,0,0,0,6,0,25000,0,2,0.25,4,3,2,6,10,0,6,2
2.666666667,7,42,0,1,3,2,0,5000,0,2,0.5,2,2,3,4,8,1,6,2
4.666666667,5,37,1,1,2,2,1,1.00E+05,0,3,0.125,1,1,2,2,6,0,4,2
6.666666667,6,28,1,1,1,7,0,NA,0,3,0.125,4.5,4,3,4,9,1,8,3
6.833333333,10,32,0,0,1,5,1,2000,0,3,0.125,4.5,3,1,1,9,1,10,1
3,0,51,0,1,0,2,1,50000,0,2,0.625,1,4,1,2,10,1,10,1
6.5,10,48,1,1,1,5,1,150000,0,2,0.125,4,4,2,1,9,1,10,2
3.833333333,2,21,1,0,1,2,0,12000,0,2,0.25,4,4,1,3,7,0,3,4
2.5,8,23,1,0,0,2,1,20000,0,3,0.25,2.5,1,3,2,9,1,10,1
2.833333333,7,42,1,0,0,7,1,25000,0,2,0.125,3,4,1,1,7,1,6,3
5,6,28,0,1,1,7,1,150000,0,3,0.375,4.5,3,1,3,10,1,10,1
4,10,29,0,0,0,4,0,50000,0,2,0.125,3,1,3,4,7,1,7,1
4.833333333,6,19,0,0,0,2,1,30000,0,3,0.5,2.5,3,1,5,9,1,8,1
1.666666667,4,26,1,1,2,5,1,25,0,3,0.125,2,3,1,2,2,1,4,2
0,0,36,0,0,2,4,0,5000,0,2,0.125,0,1,4,7,5,1,5,0
3.333333333,10,38,0,0,2,2,0,30000,1,3,0.5,1.5,1,1,4,10,1,10,1
6.333333333,9,42,1,1,2,7,1,150000,0,1,0.375,5,3,1,2,8,1,10,1
4.833333333,10,55,0,0,0,4,1,70000,0,2,0.375,2.5,2,1,1,5,1,8,2
3.833333333,6,38,0,0,0,5,0,12500,1,2,0.25,3,4,3,5,9,1,10,2
7,10,40,1,1,1,7,1,2.00E+05,0,2,0.875,5,4,3,6,10,0,9,1
2.333333333,6,33,0,0,0,2,0,29000,0,3,0.125,5,4,1,4,0,0,4,2
5,6,21,0,0,1,2,0,35000,0,2,0.125,1,3,3,1,3,1,6,1
5.166666667,0,33,0,0,0,4,0,3200,0,2,0,4,3,1,4,10,1,9,1
6.166666667,9,35,0,0,2,4,1,20000,1,2,0.25,5,4,3,7,10,0,10,1
4.5,10,26,0,0,1,4,0,130000,0,3,0.5,2,1,2,4,10,0,10,1
3.333333333,1,28,0,1,0,5,0,25000,1,3,0.75,1,4,4,5,5,1,10,2
5,9,39,0,0,0,2,1,24000,1,3,0.375,1,1,1,4,10,1,10,4
4.166666667,10,36,0,0,2,2,0,2040,0,2,0.25,3.5,1,4,4,5,0,0,2
3.666666667,0,36,1,0,1,4,1,75000,0,3,0.5,1.5,2,1,3,10,1,5,2
3.333333333,0,32,1,1,0,6,1,75000,0,3,0.25,1,3,1,1,6,1,10,1
3.333333333,7,23,0,0,2,6,0,15000,0,1,0.25,3.5,3,1,1,10,1,10,1
2.833333333,8,71,1,0,0,4,0,15000,1,1,0.125,2,2,1,3,6,1,7,2
3.833333333,4,25,0,1,3,6,1,35000,0,2,0.375,1.5,1,3,4,7,1,5,1
4.333333333,10,56,0,1,0,3,1,32000,0,3,0.625,2,2,2,7,10,0,10,1
2.166666667,0,54,1,1,0,6,1,36000,0,2,0.125,1.5,1,1,2,8,1,7,1
5.666666667,8,37,0,0,1,5,0,34000,0,2,0.5,3.5,1,1,4,9,1,9,4
4.5,10,32,0,0,3,5,0,45000,1,2,0.375,1,3,2,7,10,1,10,0
6.166666667,7,26,0,0,1,0,1,25000,1,3,0.25,4.5,3,1,7,4,1,7,2
4.166666667,8,33,0,1,2,6,1,57000,0,3,0.25,1.5,2,2,4,6,0,5,2
3.166666667,6,73,0,1,0,1,0,22000,0,1,0.75,1.5,4,1,3,10,1,10,1
5,10,57,1,1,1,4,1,24000,0,1,0.5,2.5,1,2,6,9,1,5,2
5.166666667,8,31,0,0,2,4,0,0,1,2,0.375,4,2,3,4,8,0,8,2
4.5,9,59,1,1,2,6,1,50000,0,3,0.375,1.5,1,3,3,9,1,9,1
4,10,24,1,1,2,6,1,10000,0,3,0.25,1,4,1,7,10,1,10,1
4,2,30,0,0,1,2,0,7500,0,3,0.25,4,3,3,2,9,1,7,1
6.333333333,10,39,1,1,2,7,1,2.00E+05,0,2,0.375,5,1,1,2,10,1,7,1
3,5,46,0,0,2,5,1,32489,0,3,0.5,3.5,2,3,4,7,1,9,1
3.666666667,10,57,0,1,0,6,0,22500,0,3,0.25,3,1,4,4,10,0,10,1
4.666666667,5,49,1,1,2,6,1,75000,0,2,0.5,1.5,2,2,5,1,0,0,1
5,10,63,0,0,0,4,1,75000,1,2,0.25,2.5,2,3,5,6,0,5,2
5.666666667,8,33,0,1,3,6,1,2.00E+05,0,1,0.75,4.5,3,3,4,9,0,8,2
6.5,9,21,0,0,2,2,0,0,0,1,0.25,4,1,1,3,8,0,6,1
3,0,49,0,0,0,7,0,70000,0,3,0.5,1.5,3,1,1,10,1,10,1
4.166666667,5,24,0,0,1,2,1,10000,0,2,0.125,3,4,3,2,6,0,2,3
5,10,29,0,0,2,4,1,79000,1,3,0.5,2,1,1,4,9,1,10,2
3.166666667,10,65,0,1,1,7,1,175000,0,1,0.125,2,3,3,4,10,1,8,1
5,9,53,1,0,0,1,0,9000,0,3,0.625,2.5,3,1,1,9,1,10,1
3.166666667,9,56,0,0,0,5,0,99875,0,3,0.25,1.5,3,1,4,10,1,8,2
3.333333333,5,33,0,1,0,3,1,24999,1,2,0.375,3,1,3,5,6,0,4,4
4.333333333,10,61,0,0,1,4,0,490000,0,3,0.375,5,1,3,4,7,1,4,4
4.666666667,6,34,0,0,4,5,0,14999,0,2,0.375,3.5,2,3,4,5,1,6,2
3.833333333,6,62,1,1,0,5,0,20000,0,1,0.25,3,1,1,2,10,1,10,1
2.5,5,63,0,1,0,3,0,20568,0,0,0.125,2,4,1,4,0,1,5,2
2.5,10,48,0,1,0,5,0,0,1,0,0,3.5,2,1,7,7,1,10,2
3.833333333,0,27,1,0,2,4,0,50000,0,3,0.875,3.5,3,1,1,10,1,10,4
4,5,46,0,0,0,5,0,25000,0,2,0,3,4,2,4,5,0,5,2
3.833333333,4,20,0,0,0,4,0,NA,0,3,0.25,2.5,4,3,4,7,1,8,1
4.666666667,7,68,1,1,0,6,0,1.00E+05,0,0,0.25,3,2,3,3,8,1,8,2
3.833333333,9,32,0,0,0,6,0,0,0,2,0.375,3,1,3,4,6,1,8,2
4.833333333,8,27,1,1,1,2,1,20,0,3,0.125,3.5,2,1,3,7,1,7,1
5.333333333,5,18,0,0,0,1,0,4800,0,3,0.25,3,2,3,1,8,0,5,1
4.666666667,9,24,0,0,0,4,1,40000,0,2,0.125,4,4,3,4,7,0,8,2
3.833333333,10,56,0,0,2,2,0,20000,0,1,0.25,3.5,2,1,4,10,1,8,1
4.166666667,9,24,0,1,1,5,0,20000,1,3,0.625,2.5,1,1,4,3,1,8,1
4.5,8,59,0,1,1,6,1,38000,1,3,0.5,3.5,2,1,2,7,1,6,1
7,6,34,0,0,0,2,1,5000,1,3,0.125,5,1,1,4,10,0,5,4
4.666666667,5,65,0,0,0,7,0,49999,0,3,0.375,2,2,1,4,7,1,5,2
3.166666667,10,60,0,1,0,2,0,90000,0,2,0.125,1,3,1,4,10,1,10,1
4.166666667,1,50,0,1,0,6,1,160000,0,3,0.375,3,2,3,4,8,1,8,2
3.5,10,31,0,0,1,4,0,92000,0,2,0.25,2,2,3,4,8,1,7,1
4.166666667,10,52,0,1,0,5,0,0,0,2,0.375,1.5,3,1,4,10,1,5,2
2.666666667,5,32,0,0,1,2,0,50000,1,2,0.25,3,2,2,6,5,0,5,3
3,8,69,1,1,0,7,0,84000,0,3,0.125,2,1,1,3,10,1,8,2
4,7,26,0,1,0,2,0,0,0,2,0,3,4,3,4,5,1,5,2
4.333333333,10,40,0,0,1,5,1,35000,0,3,0.5,3,1,1,6,5,1,5,2
3.666666667,6,41,0,0,0,2,1,50000,0,2,0.25,2,3,3,1,6,1,8,2
3.666666667,10,33,0,0,0,4,1,0,0,3,0.5,3,2,3,6,10,0,0,4
4.833333333,6,29,0,0,0,7,1,55000,0,2,0.25,3,3,1,3,6,0,5,1
4.166666667,10,58,0,1,3,1,0,24000,0,2,0,3,4,1,6,5,0,5,1
3.5,6,52,1,0,0,7,0,40000,0,3,0.375,1,3,1,2,10,1,10,1
4,5,44,0,0,0,7,1,165000,0,2,0.125,3,2,1,2,5,0,5,2
2.166666667,0,61,0,1,0,4,0,21000,0,3,0.25,2.5,3,1,1,7,1,8,1
3.833333333,1,55,0,1,0,5,1,44000,1,2,0.125,3,2,3,2,2,0,6,1
5,5,49,0,0,2,7,1,250000,0,1,0,4,3,1,4,8,1,6,2
3.833333333,9,59,0,0,0,2,1,50000,0,3,0.125,1,1,1,2,3,1,9,2
0,0,22,0,0,0,4,0,1500,0,3,0.125,3,3,3,4,4,0,3,3
2.833333333,10,32,0,0,0,1,0,125000,0,3,0.125,3,1,1,1,9,0,10,4
4.166666667,0,61,0,0,0,6,0,11000,0,3,0.125,3,2,1,1,10,1,10,1
3.333333333,0,39,1,0,3,4,1,37000,0,3,0.375,2,1,1,4,2,0,1,2
2.5,10,42,0,0,2,6,0,125000,0,2,0.5,3,2,2,6,8,0,5,0
7,10,32,1,0,0,6,1,40000,0,2,0.125,5,2,2,7,10,1,10,1
5,0,37,0,0,0,4,0,30000,0,1,0.375,1,3,1,4,0,1,10,2
3,10,64,0,1,0,7,0,49000,0,2,0.625,3.5,2,2,7,8,0,3,3
3.833333333,10,70,1,0,0,4,0,39000,0,2,0,3,4,3,4,6,0,1,3
3.166666667,0,58,0,1,0,6,0,124000,0,1,0.125,1.5,4,1,2,9,1,7,3
2.166666667,7,18,0,0,0,2,0,2738,0,1,0.25,1.5,2,1,4,0,0,6,1
4,8,42,0,0,1,6,1,35000,0,3,0.375,2,3,1,3,7,1,9,1
4,5,38,0,0,0,8,1,30000,0,2,0,3.5,2,3,4,5,1,5,2
3.5,6,67,0,0,0,4,0,55000,0,3,0.5,2,1,1,4,9,1,8,2
3.5,5,46,1,0,0,6,1,93000,0,2,0.25,3,2,3,2,5,1,5,2
5.833333333,8,18,1,0,1,2,0,220,0,2,0.125,4,4,3,4,8,0,5,3
2.666666667,7,18,1,0,90,2,0,150000,0,1,0.5,2,2,3,4,10,1,0,2
4.333333333,8,36,0,0,3,2,1,29000,0,3,0.5,2.5,1,1,2,7,1,7,1
5.333333333,8,64,0,0,0,6,0,10000,1,2,0.25,2,1,1,1,10,1,10,1
3.666666667,8,19,0,1,0,2,0,15000,0,2,0.25,3,1,2,6,4,1,6,0
4,0,71,1,1,0,6,0,40000,0,3,0.125,1,2,3,3,0,1,10,1
2.833333333,10,53,0,0,0,4,0,8000,0,3,0.375,2,2,4,4,7,1,10,1
4.666666667,10,56,0,0,0,6,1,23,0,2,0.75,3.5,3,1,4,10,1,9,1
4.333333333,0,19,0,1,0,4,1,60000,0,3,0.375,1,2,2,6,7,1,10,1
5.166666667,10,48,0,1,0,4,0,103000,1,2,0.5,3.5,2,2,7,7,1,5,1
3.333333333,0,59,0,0,0,6,0,45000,0,3,0.125,2.5,4,2,5,6,0,6,2
4,5,56,1,0,0,3,0,12999,0,2,0.375,3,4,1,4,5,0,5,2
5,8,38,0,0,0,6,0,74999,0,3,0.25,4.5,3,3,3,9,1,8,2
5,10,56,0,0,0,2,0,11500,0,1,0.375,3,4,1,7,0,1,10,1
1.666666667,3,33,0,0,0,1,0,1500,0,3,0.125,2,2,1,1,0,0,0,2
4,10,62,0,0,1,4,1,74000,0,3,0.25,3,3,1,4,8,0,6,1
7,10,65,0,0,0,2,1,29000,0,2,0.625,4.5,3,1,1,10,1,9,1
4.833333333,0,39,0,0,0,7,1,107000,0,2,0.25,2,4,1,2,9,1,10,1
3.833333333,6,25,1,0,1,2,1,22222,1,3,0.25,3,3,1,3,6,1,6,3
5.666666667,7,34,1,0,0,2,1,40000,0,2,0.25,4.5,4,1,2,10,1,10,3
3.666666667,4,23,1,0,0,5,0,2200,0,2,0.125,2,4,1,5,3,1,3,2
4.333333333,8,52,0,0,2,4,0,18000,0,2,0.375,4.5,1,1,2,6,1,6,2
4.666666667,8,68,1,0,0,7,0,60000,0,2,0.5,3.5,1,1,4,8,1,9,1
3.833333333,10,20,1,0,1,4,0,65000,0,3,0.375,1.5,3,1,3,10,1,10,1
1,0,41,0,0,1,2,0,14000,0,2,0.125,1,4,1,4,0,0,0,3
3.166666667,0,20,0,0,0,2,1,85000,1,2,0.25,4,2,1,5,9,1,8,2
4.333333333,10,77,1,0,0,7,0,75000,0,2,0.75,5,3,3,4,10,0,5,1
2.333333333,0,31,0,0,2,4,1,70000,0,3,0.375,1.5,1,1,2,10,1,10,1
2.166666667,3,52,0,1,0,7,0,33000,1,3,0.375,1,1,1,2,10,1,7,2
7,10,60,0,0,0,2,1,49999,0,3,0.5,5,4,1,1,10,1,0,1
3.666666667,10,20,0,0,1,2,0,100,0,3,0.125,3.5,3,1,1,6,0,4,2
4.166666667,4,18,0,1,0,2,0,0,1,2,0.125,1.5,1,1,4,8,1,5,1
4,5,20,0,0,0,2,0,NA,0,3,0.125,1,4,1,2,5,1,7,1
3.5,9,51,0,1,0,2,0,50000,0,2,0.375,1,2,1,4,8,0,10,2
3.666666667,6,58,0,0,0,2,0,15000,1,2,0.125,1,1,3,4,0,1,10,4
6,10,69,0,0,0,2,0,35900,0,3,0.25,5,3,1,2,10,1,10,3
5.166666667,7,18,0,0,0,2,0,75000,1,3,0.125,3,1,1,1,5,0,7,4
3.666666667,7,22,0,0,0,6,1,37700,0,3,0.375,3.5,2,2,6,9,1,8,1
5,4,47,0,0,0,6,1,47000,0,3,0.375,1.5,3,1,1,6,1,9,1
3.666666667,10,59,0,0,0,4,1,50000,0,3,0.125,1.5,2,2,4,10,0,0,1
5,7,23,1,0,0,6,1,60000,0,2,0.125,2,3,3,4,6,1,7,2
1.5,9,27,0,0,0,6,1,120000,0,3,0.625,4.5,1,1,5,8,1,10,2
3.166666667,6,18,0,0,2,2,0,120000,0,3,0.375,2,3,1,2,8,1,10,1
4.5,10,37,0,0,0,2,1,17000,0,3,0.375,2.5,1,1,4,8,1,9,1
2.166666667,5,72,1,0,0,4,0,59999,0,3,0.125,3,2,1,4,8,0,5,2
3.833333333,8,39,0,0,1,6,0,95000,0,3,0.625,2.5,2,1,4,6,1,8,1
2.666666667,10,31,0,0,2,5,1,49000,0,2,0.25,4.5,4,2,5,7,1,9,1
4.5,6,37,0,0,2,4,0,11000,0,1,0.125,3,1,1,4,5,1,6,2
4.166666667,8,33,0,0,0,4,1,32000,0,3,0.25,1,1,1,4,6,1,7,1
4.5,1,39,0,0,0,5,1,41500,0,2,0.375,3.5,3,1,1,9,1,6,1
3.166666667,6,46,0,1,0,6,0,20000,0,3,0.375,3,3,1,3,8,1,7,2
4.5,4,62,0,0,0,5,0,2200,0,1,0.25,3,1,1,4,4,0,4,3
4.5,10,39,0,0,0,3,1,105984,0,2,0.5,1,1,4,7,0,1,3,3
2.833333333,10,73,0,0,0,2,0,15000,1,2,0.5,3.5,2,1,4,10,1,10,1
2.666666667,7,26,0,0,2,2,1,15000,0,3,0.625,2,3,1,1,10,0,5,2
3,10,53,0,0,0,1,0,7800,0,3,0.25,2.5,2,1,6,9,0,9,1
5.333333333,5,41,1,0,0,6,1,40000,0,2,0.125,3,3,3,4,8,1,5,2
3.333333333,10,68,0,0,1,5,0,39000,0,2,0.25,1,1,1,3,10,1,5,2
3.666666667,8,60,0,0,0,6,0,35000,0,2,0.5,1,2,1,3,6,0,6,2
4.333333333,0,72,0,0,1,6,0,440000,0,2,0.5,3,2,3,4,7,0,5,3
4.166666667,0,46,0,0,0,4,1,29000,0,3,0.375,2,4,3,7,10,1,10,1
3.666666667,6,78,0,0,0,6,0,50000,0,3,0.375,2.5,4,3,2,6,1,9,2
1.666666667,8,26,0,0,1,4,1,56000,0,3,0.25,1,3,1,3,5,0,7,2
3,0,42,0,0,1,6,0,37500,0,1,0.375,2,1,1,4,9,1,10,1
5,8,25,0,1,0,2,1,22000,1,2,0.25,3,1,3,4,0,1,0,1
5,5,56,0,0,0,4,0,2300,0,2,0.625,4,3,1,2,8,0,10,1
3.666666667,10,62,1,0,2,5,0,55000,0,2,0.5,3,1,1,5,10,1,10,0
2.666666667,2,26,0,1,2,2,0,30,0,2,0.375,1.5,2,3,3,4,0,4,0
3,10,40,0,0,0,4,0,762,0,2,0.125,2.5,2,1,3,7,1,8,3
2.333333333,7,64,0,0,0,6,0,45000,0,3,0.25,2,2,1,2,10,1,9,1
5,0,67,0,0,1,4,0,15600,0,3,0.625,3,3,1,4,5,1,8,1
4,0,25,0,0,5,8,1,1.00E+05,0,3,0.875,1.5,1,1,4,5,1,5,2
4.333333333,10,38,0,0,0,3,0,50000,1,2,0.25,2,3,1,3,10,1,9,1
2.5,10,51,0,0,1,2,0,27000,1,3,0.25,3.5,2,1,2,7,1,7,4
3.333333333,10,57,0,0,0,4,0,16100,0,2,0.25,5,4,1,6,10,1,6,2
3.5,7,56,0,0,0,6,0,49000,0,3,0.375,4,3,1,2,7,1,10,1
4.833333333,10,63,0,1,1,6,0,50000,0,2,0.375,2.5,3,1,6,10,1,8,1
2.5,5,59,0,0,1,3,0,36000,0,3,0.5,1,2,1,1,10,1,10,1
5,10,60,1,0,0,8,0,75000,0,2,0.5,4,4,2,7,6,1,5,2
3.833333333,8,27,1,1,1,5,1,3.00E+05,0,2,0.125,3.5,4,2,3,4,1,7,2
2.833333333,10,51,0,0,0,4,0,0,1,2,0.25,4.5,1,1,6,5,0,5,3
3.166666667,10,23,0,0,2,2,0,10000,0,2,0.25,3,4,3,4,4,0,4,3
2.333333333,9,31,0,0,1,6,1,35000,0,2,0.5,3.5,1,1,4,8,1,5,2
5,6,67,1,0,0,4,0,29000,0,3,0.125,3,2,1,7,7,0,6,2
5.5,5,60,1,1,1,3,1,11000,1,3,0.375,2.5,3,1,5,8,1,10,1
5.5,9,26,0,0,0,6,1,70000,0,3,0.375,4.5,3,1,3,10,1,10,1
5.833333333,7,44,0,0,3,5,1,65000,0,2,0.125,4,3,1,4,9,0,6,0
4.833333333,10,57,0,0,0,4,1,50000,0,3,0.5,2.5,3,3,2,10,1,9,1
3.666666667,10,63,0,0,0,4,1,20000,0,2,0.125,3,3,1,7,10,1,9,3
4.333333333,10,63,0,1,0,5,0,60000,0,2,0.5,2.5,2,2,4,6,0,5,1
4.166666667,10,60,0,1,0,5,0,19875,0,2,0.5,3,2,3,3,9,1,10,1
2.833333333,4,18,0,0,0,6,0,2900000,0,2,0.125,2.5,1,1,0,7,1,5,4
2.666666667,7,51,0,0,0,6,1,80000,0,3,0.375,2.5,1,3,5,6,1,7,1
2.833333333,3,31,0,0,0,4,0,59000,0,3,0.125,3.5,2,1,2,5,1,7,1
1,0,22,0,0,0,1,0,50000,0,2,0,5,1,3,7,0,0,0,4
3.833333333,10,45,1,0,1,6,1,31000,0,1,0.5,3,3,3,6,6,1,7,1
4.333333333,9,68,0,0,0,4,0,24999,0,3,0.25,2,3,1,1,10,1,10,1
4,5,44,1,0,0,6,1,5000,0,2,0.25,1.5,4,1,3,5,1,9,1
2.5,1,24,0,0,1,6,1,69000,1,3,0.125,3,1,3,4,5,1,5,1
2,10,70,0,0,0,4,0,39000,0,2,0.125,4.5,2,1,4,8,0,7,1
3.833333333,5,21,0,0,0,4,0,5.00E+05,0,1,0.25,2,2,1,6,9,1,0,1
1.666666667,10,69,0,0,0,4,0,28000,0,2,0.25,4,3,1,3,10,1,10,3
3.666666667,7,65,0,0,0,5,0,25000,0,3,0.25,2.5,2,1,1,10,1,10,1
4,6,44,0,0,0,6,1,19500,0,3,0.625,2.5,2,4,4,10,0,8,1
1.666666667,7,43,0,0,1,6,0,49000,0,3,0.625,2,1,1,4,8,0,10,1
4.166666667,10,54,0,0,0,5,1,25000,0,1,0.5,3,3,3,5,9,1,6,1
5.5,10,56,0,0,0,7,1,20000,0,2,0.25,4.5,1,1,4,9,1,10,2
5.833333333,10,39,1,0,2,6,1,99000,0,1,0.25,4,3,1,1,9,0,6,2
3.166666667,0,59,1,0,0,2,0,13333,0,3,0.375,3.5,2,3,4,8,1,7,1
4,8,38,0,0,0,5,1,10000,0,2,0.125,3,4,3,4,7,1,8,2
